,0
1590,Dieses Pils braucht man nicht .
1591,Das Beck's Pilsener .
1592,Vorneweg etwas Etikettengeschichte : Das 1873 begründete Bier gewann die Goldmedaille auf der Weltausstellung 1876 in Philadelphia für „ das beste aller kontinentalen Biere “ .
1593,Das Abbild der Medaille und der Bremer Schlüssel erschienen erstmals 1877 auf dem Etikett .
1594,"Das Bier wurde als Schlüsselbier und Key Beer weltweit bekannt , "" Key Beer "" stand sogar eine zeitlang auf den Etiketten für den englischsprachigen Markt ."
1595,1884 wurde das ovale Etikett mit einem nach rechts gerichteten Schlüssel als Warenzeichen geschützt .
1596,"Gab es auch links ... wäre interessant , warum ?"
1597,"Übermittlungsfehler ... japanischer Sprachraum ( die mögen Linien von oben links nach unten rechts ) , Wurschtigkeit der Lizenznehmer ?"
1598,Seitdem wird die Form im Prinzip eingehalten .
1599,Das Beck's also .
1600,"Selbst im Kinoklassiker "" Das Boot "" ein Belohnungsbier ."
1601,Das Bier schlechthin in den Diskotheken ( heute : Club ) der 80er Jahre .
1602,"Schon damals umstritten , aber eben doch dank seiner hohen Verbreitung gerne gekauft und getrunken ."
1603,"Grüne Segel , rauchige Stimme ..."
1604,Sail away .
1605,Es war eben ein norddeutsch herbes Bier .
1606,"Zum Bier selbst : Eine gute Krone , die aber recht schnell zusammenfällt ."
1607,"Das Bier hopfig , etwas instabil der Körper , aber gut trinkbar , wenig Widerstand ."
1608,Ein klassisches einfaches Pils .
1609,"Den metallischen Geschmack , den hier so viele schmecken , schmecke ich nicht ."
1610,"Dafür einen eher bitteren Körper und vor allem hopfenextraktischen Nachgeschmack , ein bißchen Metall also schon ."
1611,Die Referenz des Mittelmasses .
1612,"Im Inland unterdurchschnittlich , im Ausland knapp drüber ... mehr nicht , 5 Öffner ."
1613,Ich schreibe das am Tag als die AB InBev die SABMiller geschluckt hat ( zumindest habe ich gerade davon gelesen ) .
1614,Ein Drittel der Weltbierproduktion ist jetzt in einem Firmenkonglomerat zusammengefasst .
1615,"Die Welt AG nimmt realistische Züge an , Orwell lässt grüßen ."
1616,"Beck's begleitet einen wirklich überall hin , das gibt es auch überall - sogar im noch sozialistischen Vietnam habe ich es kürzlich zwischen den lokalen Biersorten fotografiert ."
1617,Die einzig wirklich gute Eigenschaft ist die gleichbleibende Qualität im akademischen Sinn .
1618,Das Bier schmeckt überall auf der Welt nahezu gleich .
1619,"Die Biertester werden einwenden , dass eventuell anderes Brauwasser usf. bla bla ."
1620,"Sagen wir es so , im Inland nein , im Ausland durchaus ."
1621,Typisches Industriebier
1622,Leider für mich viel zu herb .
1623,"Ein herbes Bier das mehr von seiner Tradition lebt als von seinem Geschmack , es ist eben Kult und dazu noch auf der ganzen Welt zu bekommen ."
1624,Das Bier macht auch bei übermäßigem Genuss keinen Kater .
1625,Ich bewerte nur das Flaschenbier .
1626,"Die 0,33 l schmeckt besser als die unglücklichen 0,5 l Flaschen ."
1627,"Ich behaupte , seit der Übernahme des Ur-Becks durch AB ist das Bier an sich austauschbarer geworden ."
1628,"Ich trinke es ab und zu , jedoch für mich nicht Kastenwürdig ."
1629,Mein Fazit : Ein gutes industrielles Durchschnittsbier und für seine Qualität zu teuer
1630,"Mir ist unverständlich , dass so ein ( nicht mal durchschnittliches ) Bier , meist getrunkenes Bier sein sollte ."
1631,Ich habe es zum ersten Mal im Jahr 1997 getrunken .
1632,Schon damals war es nicht besonders .
1633,Hin und wieder trinke ich eine Flasche um zu sehen ob sich hier etwas verändert hat .
1634,Ich glaube heute schmeckt noch schlechter als damals .
1635,Schon nach dem ersten Trinkglas kommt Unwohlsein und Rülpsgefühl auf .
1636,Vor ca. 10 Jahren habe ich bei einer Geburtstagparty 3 Flaschen Beck’s getrunken ( es gab kein anders Bier ) .
1637,Mein Kopf war danach wie aus Beton .
1638,Ein Massenbier das sehr nach Hopfenextrakt schmeckt .
1639,Damit bin ich aufgewachsn .
1640,"Auch wenn es alle für eine Fernsehplörre halten , im Ausland immer wieder gerne ."
1641,In NYC kostet so eine Buddel doch glatt acht Dollars .
1642,Langweiliges Industriepils mit Hopfenextraktgeruch und leicht saueren Abgang .
1643,Beck's Pils : Das hier auf der Plattform wohl am meißten getrunkene Bier .
1644,Vermutlich war es damals auch mein Erstes .
1645,"Nicht nur wenn man aus Bremen stammt , man kommt einfach nicht an Beck's vorbei ."
1646,"Ich hatte schon immer meine kleinen Probleme mit diesem Bier , aber jetzt nach einigen Jahren fast ohne Beck's gefällt es mir wieder besser ."
1647,"Ich finde es sehr schwer dieses Bier zu bewerten , da man es schon fast als DAS Pils bezeichnen kann , aufgrund seiner Verbreitung ."
1648,"Es ist sehr herb , besitzt aber trotzdem einen relativ fruchtig / hopfigen Geschmack und gut Kohlensäure ."
1649,"Negativ fällt mir immer und immer wieder der fast schon typische metallische Geschmack auf , der , so wie ich vermute , vom Kronkorken herrührt ."
1650,"Vom Fass ist beinahe jedes Bier besser , aber Beck's vom Fass spielt gegenüber seinem Bruder aus der Flasche in einer deutlich höheren Liga - die Kohlensäure ist hier oft besser dosiert und die metallische Note entfällt ."
1651,"Ansonsten ist das Bier echt super trinkbar , vor allem wenn es draußen warm ist , bzw. das Bier nicht zu stark gekühlt ist ."
1652,"Ist das Bier bzw. die "" Umgebung "" zu kalt knallt einem nur noch der Hopfen auf die Zunge ."
1653,Alles in allem echt ein annehmbares Bier für den Sommer .
1654,"Zu viele Bier sollten es jedoch auch nicht sein , ansonsten bekommt man den Hopfengeschmack tagelang nicht von der Zunge :D"
1655,"Brauchbar , wenn nichts anderes zur Hand ist ."
1656,Aber nichts dolles .
1657,Vorteil : Weltweit verfügbar .
1658,Gibt's überall und ständig .
1659,"Metallischer Nachgeschmack , da schmeckt man die Fabrik ."
1660,"Funktioniert gegen Durst , gut wenn es heiß ist ."
1661,"Sobald es kühler ist , finde ich es untrinkbar ."
1662,Oder wenn man vorher ein Helles getrunken hat .
1663,Kann das Zeugs nicht mehr sehen !
1664,Das ist der Untergang der Bierkultur !!
1665,Nun musste ich Deutschlands Exportschlager auch mal wieder trinken .
1666,"Es gibt auf jeden Fall schlechtere , aber natürlich auch viel bessere Biere ."
1667,"Recht erfrischend , aber leer und ausdruckslos ( oder "" seelenlos "" ) , im Mittelteil etwas süßlich und schwach im Abgang ."
1668,"Kann man aber trinken , wenn man ein Bier trinken will um den Durst zu löschen , aber nicht um ein Bier zu genießen ."
1669,Ziemlich Herb und Würzig .
1670,Wenig Hopfig .
1671,Bitterer Abgang .
1672,Langanhaltende Bitterkeit im hinterem Rachenraum .
1673,Früher mal mein Lieblingsbier - tja Jugendsünden . ;) Immerhin kann man es glaub ich ganz gut rausschmecken im Vergleich mit anderen Massenbieren .
1674,"Sehr dünn ( erinnert mich an Heineken ) , metallische und graßige Noten , drückt leicht im Hals ."
1675,"Wenn man an der Flasche / Glaß riecht , dann erkennt man das Bier aber sofort : riecht nach Marihuana - warum auch immer , aber bestätigen mir immer wieder auch andere Leute ."
1676,Brauch ich nicht mehr !
1677,Steht mir ein bischen zu steif im Hals / Glas .
1678,Der Preis ist völlig überteuert für Industrieplörre .
1679,Ich brauchs nicht .
1680,Perlige Pilsnerkrone .
1681,Vorbildlich gelbliche Farbe .
1682,"Schmeckt der Krone nach im Antrunk perlig , und wird im Körper von der Hopfung dominiert ."
1683,"Der hier schon angesprochene metallische Nachgeschmack ist wohl dem Massebrauvorgang geschuldet , da er mit den teilweise bitteren Säurearomen von handgebrauten Bieren nicht zu vergleichen ist ."
1684,"Das Etikett schwach , passend eines Masseproduktes sehr einfach gehalten ."
1685,Gut das Geschmack unterschiedlich bewertet wird .
1686,Mir schmeckt es einfach nicht .
1687,Getsern war es seit etlichen Jahren mal wieder soweit .
1688,"Es gab nix anderes außer Beck' s. Und ja , alle Erinnerungen und Vorurteile haben sich wieder bewahrheitet ."
1689,Das Zeug ist einfach kein Bier .
1690,"Riecht komisch , perlt seltsam und schmeckt dünn mit Hopfenextraktfinisch ."
1691,Ne ne ne
1692,Unspektakulär und doch immer wieder lecker
1693,"Langweiliges Bier , schmeckt viel zu sehr nach Wasser , und riecht nach Hash :("
1694,"Keine Ahnung , warum so viele Leute es mögen ... hat diesen Spagelpisse-Nachgeschmack ...."
1695,Leicht metallischer Geruch .
1696,"Geschmacklich sehr mild für ein Pils , mit gutem Willen leicht hopfig im Nachtrunk ."
1697,Im Großen und Ganzen sehr dünn .
1698,Durchschnittliches Industriebier .
1699,"Grüne 0,33 l Longnecklfasche mit recht schlichtem Etikett ."
1700,Im Glas zeigt sich die pilsübliche hell- bis goldgelbe Färbung .
1701,Die Krone hält leider nicht sonderlich lange vor .
1702,Es duftet angenehm frisch und irgendwie grasig .
1703,Geschmacklich dominiert der Hopfen .
1704,Das Bier ist recht herb ( wenn auch nicht so herb wie Jever oder Holsten ) und würzig .
1705,Unterm Strich bin ich von dieser großen Marke enttäuscht .
1706,"Laut Statistik auf dieser Seite ist es das meistgetrunkene Bier , aber unter den Pilsbieren ist es für meinen Geschmack allenfalls untere Mittelklasse ."
1707,"Große Marke , hoher Preis , geschmacklich leider nur noch unteres Mittelmaß ."
1708,"Bedauerlich , für diese einst so große deutsche Marke ."
1709,"Becks halt , es gibt weiß Gott besserer Biere , kann man im Sommer aber selbstverständlich auch mal trinken ."
1710,"Nichts gegen Bremen , das ist wirklich eine schöne und angenehm-einzigartige Stadt ... wäre nur das Bier von dort annähernd so !"
1711,Das im Gegensatz zum Ranking hier auf Bierbasis wohl am meisten getrunkene deutsche Bier ist geschmacklich einfach eine 0-Nummer und unterdurschnittliches Mittelmaß .
1712,Die Brauerei hat es aber irgendwie geschafft überall präsent zu sein und die meisten Leute wollen sich beim Ausgehen nicht auf Experimente einlassen und irgendwie kann man es ja auch trinken .
1713,"Allerdings dürfen die grünen Flaschen niiiie , niiiiemals irgendwann in der Sonne gestanden haben ( was leider bei den Music-Clubs , die nur wochenends geöffnet haben , bei der Anlieferung desöfteren vorzukommen scheint ... ) , dann wirds nämlich richtig ekelig , obwohl das Verfallsdatum lange nicht erreicht ist ."
1714,"Im Winter kommt das nicht so oft vor , aber ich hatte kürzlich wieder so eine ..."
1715,"Mein Ratschlag an die Brauerei : liefert in silberfolierten sonnenlichtreflektierenden Flaschen , dann reichts vielleicht für eine 5 , so nur , siehe unten"
1716,"Duft : Leicht grasig , mit Hopfenwürze normal ."
1717,"Antrunk : Schlanker Körper , eher wässrig ."
1718,"Im Abgang , Hopfenbittere mit keinem besondererem Merkmal ."
1719,Fazit : Ein Bier das keinem wehtut .
1720,Industriebier halt .
1721,Ist halt nur n Pils mehr nicht .
1722,Schade eigendlich .
1723,Es hat keine Ecken und keine Kanten .
1724,LG
1725,"Standard-Pils , leicht lasch ."
1726,"Es läuft zwar die vom knochentrockenen Studentenalltag ausgedörrte Kehle herunter , jedoch ziehe ich für Fläche zwei heut eine andere Flasche vor ..."
1727,Schön hopfig leicht wässrig mit schönen charakteristischen malz / würze Noten schmeckt nicht wie ein Durchschnittsindustriepils .
1728,Wie bei den meisten Industriebieren fehlt bei Becks das gewisse Etwas .
1729,Es ist erfrischend und die Würze ist genau richtig .
1730,Mehrere davon kann ich aber nicht hintereinander trinken .
1731,"Ich mag es etwas herber , daher bekommt Becks dennoch einen Daumen nach oben ."
1732,"Naja , es ist sicher nur ein "" Industriebier "" aber es geht auch noch schlimmer ."
1733,Immerhin ist eine leicht herbe Note wahrzunehmen .
1734,Ansonst ist es recht langweilig und ausdruckslos .
1735,Kein totaler Reinfall aber kaufen muss man es nicht
1736,Nein !
1737,Völlig überschätztes Bier .
1738,Edel ist daran nur der Preis .
1739,"Niht nur , dass man eine Fahne hat wie nen Deutscher WM-Fan , auch der völlig überhopfte Geschmack ist gewöhnungsbedürftig ."
1740,Meine Bewertung von 2014 habe ich gelöscht .
1741,Becks hat in den letzten Jahren deutlich an Geist verloren .
1742,Einst mal ein richtig herbes Nordisches Bier .
1743,Heute nur noch kümmerliche grasige Herbe und ein süßer Malzkörper .
1744,Wie sagt man so schön ?
1745,"Schwach angefangen , stark nachgelassen ."
1746,Beck's löscht Penner-Durst
1747,Langweiliges Industriebier mit überbewertetem Image und enormem Marketing .
1748,Ein typisches Industrie Bier schmeckt etwas leer leicht hopfig wenig Inhalt .
1749,Kein besonderes Highlight .
1750,"Flasche geöffnet , stark grasiges , muffiges Bouquet strömt aus ."
1751,Genau wie in Erinnerung abgespeichert .
1752,Bouquet flacht schnell ab .
1753,"Antrunk ist nicht mehr so herb wie in Erinnerung , sondern milder als erwartet und leer bis wässrig ."
1754,"Dezente Würzigkeit ist vorhanden , die Hopfenbittere ist mittelmäßig und unspezifisch ."
1755,"Es verwässert schnell , die Würzigkeit flacht sehr schnell enorm ab , Abgang von leichter Hopfenherbe und Trockenheit geprägt ."
1756,"Der Gesamttrunk ist lasch , aber leichtgängig ."
1757,Einfach Top .
1758,Ich mag es aber noch mehr mag ich welche mit mehr Geschmack .
1759,"Schmeckt nicht schlecht , aber viel zu teuer ."
1760,Das Beste an diesem Bier ist sicher das Marketing .
1761,Denn durch den Geschmack kann es nicht wirklich überzeugen .
1762,Standard-Industrieplörre .
1763,Da trink ich lieber gleich kein Bier .
1764,mittelherbes industriebier für die masse . recht bekannt und überall verfügbar . solide kost . kann man trinken . allerdings nur wenn es kein besseres bier gibt .
1765,Ein Spitzenbier aus Deutschland .
1766,"Der Antrunk ist rund-würzig , gefolgt von angenehmer Bitterkeit der ne weile verbleibt ."
1767,Der Abgang ist mild .
1768,Kann ich nur empfehlen !
1769,"selbst wenn es mir besonders schmecken würde , denn das tut es nicht , würde ich wohl doch eher selbst bier mitbringen als mich auf parties mit becks versorgen zu lassen . auch auf festivals leider immer häufiger standard . allein die mentalität der becks trinker sagt mir nicht sonderlich zu ."
1770,""" Das Bier ist aus der Dose ."
1771,"Die Farbe ist hellgelb blank mit wenig feinporigem Schaum , der nicht stabil ist ."
1772,"Der Geruch ist sehr muffig , wie ein altes Stempelkissen oder Briefmarkenleim und zugleich süßlich ."
1773,Im Hintergrund kommt noch ein metallischer Geruch dazu .
1774,"Das ist so ekelhaft , ich mag es gar nicht trinken ."
1775,"Der Antrunk ist mittel vollmundig und getreidig süßlich , jetzt aber im positiven Sinn als Verstärkung des Körpers ."
1776,"Im Mittelteil wird der Körper leer , beim Schlucken überfallen mich extrem bittere , unrunde und harte Hopfenaromen , die sofort wieder abhauen ."
1777,Nach dem Schluck hat man das Gefühl Wasser mit ein wenig Biergeschmack getrunken zu haben .
1778,"Ich kann mir vorstellen , wenn man es eiskalt trinkt , sind alle Fehlgeschmäcker eingefroren und es geht einigermaßen ."
1779,Meines war mit ca. 12 ° C am oberen Ende der Trinktemperatur .
1780,"Fazit : ein völlig unharmonisches , wenig und schlecht gehopftes Pils ."
1781,"Am meisten stört mich aber der ekelhaft muffig , süße Geruch . """
1782,Nettes neues Retrodesign .
1783,"Früher war es mein absolutes Lieblingsbier , dann konnte ichs ne ganze Zeit nicht mehr sehen , zwecks testen hab ichs mir mal wieder gekauft , Bin positiv überrascht ."
1784,Der befürchtete Blechgeschmack ist nicht vorhanden .
1785,"Was ich trinke , ist ein mildes Pils , das angenehm läuft ."
1786,Vielleicht sollte man es ... naja ... in Maßen trinken .
1787,Ich kanns einfach nicht mehr sehen .
1788,"Dieses omnipräsente Gebräu ist leider auf vielen Parties immer noch "" Standard-Mitbringsel "" ."
1789,Wann ändert sich das endlich mal ?
1790,"Man kann es schon mal trinken , aber wirklich gut ist es deswegen noch lange nicht ."
1791,Massenware .
1792,Einziger Vorteil : überall erhältlich .
1793,Qualität und Preis stehen in krassem Mißverhältnis .
1794,Leider in den letzten Jahren deutlich an Qualität verloren .
1795,"Schmeckt fürchterlich nach "" Blech "" ."
1796,Kein Bier mehr für mich
1797,"Es ist einfach das typische Bier , dass überall zu haben ist und was man eigentlich immer trinken kann ."
1798,Wenn es aber eine Auswahl gibt entscheidet man sich meistens gegen Becks ...
1799,"Runde Sache , aber mir zu lieblich ."
1800,An und für sich ein gutes Pilsener .
1801,Erfrischend und Herb .
1802,Typisch deutsches Export-Pilsner .
1803,Hierzulande eher durchschnittlich .
1804,Feinherbe erfrischende Pilsnernote .
1805,Hat aber den Rubikon schon überschritten .
1806,Mit Becks kann man eigentlich nichts verkehrt machen .
1807,"Ein gutes Durchschnittsbier , nicht mehr , nicht weniger ."
1808,"Positiv : Becks schmeckt immer gleich ( gut ) , es gibt kaum Qualitätsunterschiede von Bier zu Bier"
1809,Leider ist der Ruf vom Becks mittlerweile deutlich schlechter als es tatsächlich schmeckt .
1810,Auf ner Party mit Becks in der Hand sieht natürlich uncool aus - aber Kopfschmerzen hatte ich davon wirklich noch nie !
1811,Ein Klassiker - aber er wird zu Massenware - ich trinke es immer wieder gerne
1812,Naja
1813,Deutscher Pils-Klassiker all over the world !
1814,Nichts besonders tolles aber ein schönes Standardbier das einem international gesehen manchmal den Arsch rettet ( z. B. in den Staaten ) .
1815,Zum Genuss in rauen Mengen geeignet .
1816,"Gesamteindruck : Erfrischend , hopfig und etwas charakterschwach ."
1817,Früher eines meiner Lieblingsbiere aber heute trinke ich es nicht mehr so gern .
1818,Trotzdem süffig und leicht herb wie ich finde .
1819,Viel spaß damit !
1820,An heißen Sommertagen ist es gut gekühlt eine Süffige Erfrischung .
1821,Allerdings hatte ich es früher schon etwas herber in Erinnerung .
1822,"Immer würde ich es jetzt auch nicht trinken , da es recht dünn und vorallem teuer ist ."
1823,Aber bei diesen Temperaturen kommt solch leichte Kost gerade Recht .
1824,Sehr erfrischend aber nicht herb genug
1825,"Gut süffig aber sehr dünn , wenig herb ."
1826,Früher war es besser
1827,Gekühlt kann man es trinken .
1828,Sonst ist es nicht mein Fall .
1829,"Ein kerniges , herbes Industriepils für Menschen dies mögen ."
1830,Für mich hat die Marke durch die ständige Preisschlacht an Ansehen verloren .
1831,Trauriges Überbleibsel eines einstmals stolzen Bieres .
1832,"Flach , wäßrig , bitter , kaum Körper , dünner Schaum , wenig Blume ."
1833,Was bleibt ist ein hopfenbitterer Nachgeschmack am Gaumen .
1834,Schade .
1835,Wahrscheinlich wird hier nur Bitterhopfen aus dem untersten Preissegment verwendet .
1836,"Würde es nicht auf der Flasche stehen , ich könnte das Becks nicht von anderen nordischen Bieren unterscheiden ."
1837,Deutlich besser als das Beck's Gold .
1838,"Man kann es schon mal den ganzen Abend trinken , wenn es nicht anderes in der Bar gibt ."
1839,"Man sollte sich allerdings Gedanken machen , ob man sich nicht lieber nach einer neuen Bar umsehen sollte ..."
1840,last man standing - wenns gar nicht anders gibt ganz passabel ...
1841,"Nunja , was Werbung anrichten kann sehn wir hier ."
1842,Fast jedes Bier ist leckerer als ein Becks .
1843,"Chinesen machen besseres Bier , sowas stellt sich sogar Betrunken an der Bar noch Quer ."
1844,"Seltsam wie sowas so beliebt werden konnte , auch ich habe das mal getrunken ."
1845,"Ist ein solider Standard , wenn man auf einer Party nichts anderes zur Auswahl hat ."
1846,"Zugegeben - viele Biere rangieren nicht darunter , aber einige gibts schon ( siehe auch Sternburg - hehe ... ) ."
1847,Kann man schon mal machen - auch in größeren Mengen .
1848,"Ab damit auf ein Boot , Segel setzen und auf Nimmerwiedersehen !"
1849,"Dass Beck's im Ausland teilweise als * das * deutsche Bier gilt , macht betroffen ."
1850,"Vor 10 Jahren konnte ich es noch waerend einer Nacht im Club trinken , sogar zu hause im Kuehlschrank fand man es da bei mir ."
1851,"Heute bin ich erwachsen und bevor ich Beck's trinke , trink ich lieber Milch ."
1852,"Omnipräsent , übermächtig ."
1853,Gibts in den Staaten sogar in 2 Liter-Schraubverschluß-Flaschen .
1854,"Ist nur aus den kleinen Flaschen zu genießen , immer im Club , niemals zu Hause aus dem Kasten , kenne auch keinen der sich sowas in die Wohnung stellt ."
1855,"Die Legende , Beck´s rieche beim Öffnen nach Marihuana , kommt von Menschen die selbiges schon in großen Mengen zu sich genommen haben ."
1856,"Not a bad beer to accompany your pizza or your fatty meal , it has a grapefruit bitterness that helps you feel less saturated ."
1857,I would probably not sip this alone though .
1858,Immer wieder gerne .
1859,Am liebsten natürlich frisch gezapft an der Nordsee
1860,Das Jever Pilsener kommt in einer grünen Flasche mit goldenem Etikett und schwarzer Schrift .
1861,"Eingeschenkt im Glas sieht es goldgelb mit schneeweißer Schaumkrone , pilstypisch aus ."
1862,"Es riecht würzig , hopfig ."
1863,"Der Antrunk würzig herb , dezent malzig , mit langem hopfigen Abgang ."
1864,Pilstypisch Friesisch herb .
1865,6 Öffner . 16. 01. 20
1866,"Viel zu bitter , überhaupt gar nicht mein Fall ..."
1867,Das Jever Pilsener steht goldgelb und klar im Glas .
1868,Die Schaumkrone ist feinporig mit guter Standzeit .
1869,Es riecht grasig .
1870,"Der Antrunk ist herb , wobei die Herbe im Mittelteil ansteigt und Getreidearomen dazukommen ."
1871,Im Abgang wird es noch ein wenig bitterer und der hopfig herbe Schluck gleitet die Kehle hinunter .
1872,Ich finde es faszinierend wie die Bitterkeit von anfang bis ende steigt und dann das Aroma auf der Zunge bleibt .
1873,Der Kohlensäuregehalt ist gut abgestimmt .
1874,"Ein tolles Pils , bei dem der Hopfengeschmack eindeutig im Vordergrund steht ."
1875,"Es ist ein ehrliches Bier , so wie es auf dem Etikett steht , friesisch herb , ohne Schnick-Schnack ."
1876,"Leichtes Bier , voller Geschmack ."
1877,"Eins meiner Liebsten Biere für den Feierabend oder zum Abschalten mit Freunden , nach einem körperlich anstrengendem Tag ."
1878,"Das Jever Pils ist im Glas goldgelb , klar , wenig karbonisiert und entwickelt eine gute , feinporige Schaumkrone ."
1879,Es riecht sofort erkennbar nach Getreide .
1880,"Der Geschmack ist , wie es die Werbung verspricht , von Antrunk bis Abgang herb ohne das der Hopfen wirklich herausschmeckt ."
1881,Lediglich im Nachgang kommt ein wenig Bittere durch .
1882,Der Körper ist nicht wirklich vollmundig aber für ein Fernsehbier ganz OK .
1883,"Da ich kein Freund sehr herber Biere bin ist es nicht wirklich mein Geschmack , aber man weiß es ja vorher und kann sich darauf einstellen ."
1884,Deshalb vergebe ich 6 Öffner .
1885,"Das Gebinde ist eine grüne 0,33 l Longneck Flasche mit dem bekannt schlichten Etikett von Jever ."
1886,Goldgelb und klar mit einer weißen Blume steht das Pils im Glas .
1887,Im Geruch hopfig herb .
1888,Im Geschmack hopfig herb .
1889,Einrichtig schönes bitteres Pils .
1890,Für ein Industriebier wenigstens schön herb .
1891,"Kein Körper , aber den habe ich ja umso mehr ."
1892,"Keine Ahnung , wieviele schon getrunken und nie bewertet ."
1893,Am Grabbeltisch bei Edeka im Angebot 79 Cent das Blech .
1894,Na so umgeht man schon die eklige grüne Flasche .
1895,Sehr helles Gold mit auftürmender haltbarer Schaumkrone .
1896,Geruch sehr frisch deutlich hopfig natürlich .
1897,Identisch der Antrunk .
1898,"Zur Mitte ist da nix , das weiß man eigentlich , daher braucht man auch nix suchen ."
1899,Der Abgang ist schon extrem und speziell .
1900,"Der Extraschuß Hopfen , ich glaube fast nicht , dass da Extrakt im Spiel ist ."
1901,Ich reagiere da meist extrem speziell bei Pils wird mir die Zunge pelzig bis zum Rückgrat .
1902,Beim Flensburger zum Beispiel geht's mir so .
1903,"Ist halt ein Industriebier mit einem prägnanten Eigengeschmack , das man wohl bei 80Prozent jeder Blindverkostung korrekt benennen wird ."
1904,Im Sommer ist das eine schöne Erfrischung speziell im Norden mit einer leichten Brise um die Nase eiskalt vom Fass macht das schon Spaß .
1905,"Jedermanns Geschmack wird's nie sein , aber davon haben wir schon genug am Markt ."
1906,"Mir schmeckt es nur im Sommer , zur kalten Jahreszeit knallt mir der Hopfen zu arg ."
1907,"Trinke es gerade aus einem Glas für ein oberbayrisches Helles , und da macht's auch eine gute Figur ."
1908,"Werde das nach wie vor nur trinken , wenn die Umstände passen , aber hoffentlich bleibt ihr eurer Linie treu , dafür gibt's aber trotzdem 8 Öffner vom Schmied ."
1909,"P. s. Die Fernsehwerbung geht mir genauso auf den Sack , wie allen anderen"
1910,"Gutes Standardpils , ordentlich gehopft und angenehme Bitterkeit ."
1911,Insgesamt ein solides Industriebier .
1912,"Das herbste , mir bekannte Bier ."
1913,Und trotzdem hat es einen frischen nicht zu üppigen Körper .
1914,Im Sommer eiskalt getrunken ist es einfach klasse .
1915,"Preis - Leistung passt , da es auch öfter mal im Angebot ist ."
1916,"Ein völlig überschätztes Bier , das den aktuellen Trend im veränderten Biermarkt anzeigt : völlig überhopft ( mit EXTRAKTEN , kein echter Hopfen ! ) , wässrig und von Geruch und Geschmack unnötig bitter ."
1917,"Ein Bier für Jugendliche Trendsäufer , die nichts von Biergenuss verstehen !"
1918,Braucht man in Franken jetzt nicht unbedingt ...
1919,Jever ....
1920,Mein zweites Bierchen für heute ist das gute alte Jever Pilsner .
1921,Von der Optik zeigt es sich als hellgoldenes Bierchen mit einer gröberen aber schönen Blume .
1922,"Beim Anschnuppern merkt man bereits , das man es mit einem herberen Bierchen zu tun hat ."
1923,"Der Geschmack : Beim Antrunk bestätigt sich die Wahrnehmung vom Geruch , so schmeckt man fas ausschließlich die herberen , bitter Nuancen vom Hopfen und eine weiche frische und Spritzigkeit ."
1924,Sehr angenehm vom Geschmack .
1925,Zusammengefasst : Das Jever kommt ohne großes Tam Tam aus und ist so mit absolut solide und ehrlich vom Geschmack .
1926,"Hier macht man nichts falsch , wenn man auf qualitativ gute Pilsner Biere steht ."
1927,Mir hat es geschmeckt .
1928,Eins meiner Lieblingsbiere die fast immer vorrätig zuhause sind
1929,Bei mir auf Arbeit vom Fass gibt's das Jever .
1930,Schöne goldene Farbe mit stabiler Schaumkrone .
1931,"Es riecht schön herb würzig , leicht kräutrig ."
1932,Vom Geschmack her ein gutes Industrie Bier .
1933,Kräftig vollmundig mit ordentlicher herbe und hopfenbitterkeit .
1934,Ich mag das Jever mit seinem herben Geschmack .
1935,"Obwohl es ein Industriepils ist , ist der Geschmack typisch und nicht beliebig ."
1936,Bindingbier mit Bitterextraktpulver .
1937,Im Glas hat das Bier eine hellgelbe Farbe .
1938,Schmale Krone vorhanden .
1939,Es duftet einladend hopfig-frisch .
1940,Der Antrunk ist malzig-süß .
1941,Ordentlich karbonisiert und dadurch schön süffig .
1942,Der Mittelteil ist malzig-grasig und hopfig-würzig .
1943,Der Abgang wird vom Hopfengeschmack dominiert .
1944,Die Herbe umschmiegt den Gaumen und bleibt haften .
1945,Das Bier hebt sich positiv durch seine schmackhafte Hopfenherbe von anderen milderen Industriepilsenern ab .
1946,Das Jever ist ein erfrischendes und hopfiges Bier Pilsener Brauart .
1947,Eher nichts für sanftere Gemüter .
1948,Mich überzeugt's aber .
1949,"Sehr speziell , nichts für gelegentliche Biertrinker ."
1950,Klasse zu deftigen Speisen .
1951,"Ein gutes , herbes Bier ."
1952,"Recht süffig und eine gute , herbe Note ."
1953,"Wenn man herb-hopfiges Bier sucht , ist man bei Jever gut aufgehoben ."
1954,Wobei es frisch vom Fass deutlich süffiger ist als aus der Dose
1955,Von Antrunk bis Abgang stumpf gleichförmig herbe .
1956,Geschmacklich gibts nicht die geringste Entwicklung .
1957,Ich bevorzuge Flensburger .
1958,Ich hatte eine Dose .
1959,Beim Öffnen dringt der Schaum aus der Dose heraus .
1960,Der Geruch ist typisch Dosenbier .
1961,Leicht muffig .
1962,Der Schaum ist von durchschnittlicher Porung .
1963,Allerdings schmeckt er irgendwie chemisch .
1964,"Geschmacklich ist es absolut kein Highlight , fad und abgestanden ."
1965,Nicht mein Fall .
1966,Ein typischer Vertreter der herben eher bitteren Pilskreationen .
1967,Im Prinzip mag ich das ja meist lieber als die tschechische Art des Pils .
1968,"Es präsentiert sich mit sehr hellgelber , fast blasser Farbe und schnell zerfallender Krone ."
1969,Man riecht schon ziemlich herbe bittere grasige Noten .
